UTC-timeStamp,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,WorkloadFBDS,WorkloadBDS,WorkloadAverage,Brow Furrow,Brow Raise,Engagement,Lip Corner Depressor,Smile,Valence,Attention,InnerBrowRaise,EyeClosure,NoseWrinkle,UpperLipRaise,LipSuck,LipPress,MouthOpen,ChinRaise,Smirk,LipPucker,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,Cheek Raise,Dimpler,Eye Widen,Lid Tighten,Lip Stretch,Jaw Drop,Battery (mVolts),GSC (mVolts),GSR (kOhms),GSR Quality
20180822_180604062,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098.338462,1902.564103,77.80042635,VALID
20180822_180604070,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604080,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604080,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604089,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604090,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095.425641,1964.835165,77.80042635,VALID
20180822_180604090,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4102.707692,1766.300366,77.80042635,VALID
20180822_180604093,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604100,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604100,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604104,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604104,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604106,967,585,942,636,2.249695,2.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604110,967,585,942,636,2.249695,2.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604110,967,585,942,636,2.249695,2.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604111,967,585,942,636,2.249695,2.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1868.131868,77.80042635,VALID
20180822_180604111,967,585,942,636,2.249695,2.209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604120,967,585,942,636,2.249695,2.209564,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604120,967,585,942,636,2.249695,2.209564,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604120,967,585,942,636,2.249695,2.209564,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604120,967,585,942,636,2.249695,2.209564,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604121,984,631,940,605,2.192673,2.101486,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604132,984,631,940,605,2.192673,2.101486,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604132,984,631,940,605,2.192673,2.101486,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1927.472527,77.83312578,VALID
20180822_180604135,984,631,940,605,2.192673,2.101486,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098.338462,1961.904762,77.83312578,VALID
20180822_180604139,997,640,950,649,2.192993,2.235428,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1979.487179,77.83312578,VALID
20180822_180604142,997,640,950,649,2.192993,2.235428,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1979.487179,77.83312578,VALID
20180822_180604142,997,640,950,649,2.192993,2.235428,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1979.487179,77.83312578,VALID
20180822_180604143,997,640,950,649,2.192993,2.235428,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1967.765568,77.83312578,VALID
20180822_180604153,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1967.765568,77.83312578,VALID
20180822_180604156,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1967.765568,77.83312578,VALID
20180822_180604156,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1967.765568,77.83312578,VALID
20180822_180604157,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089.6,1964.102564,77.86585271,VALID
20180822_180604160,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4085.230769,1960.43956,77.89860717,VALID
20180822_180604161,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101.251282,1758.974359,77.86585271,VALID
20180822_180604161,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604162,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604162,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
20180822_180604164,949,628,935,633,2.199524,2.166183,0.760216,0.693192,0.726704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.14359,1895.238095,77.86585271,VALID
